Community,Occurrence Births,Resident Births,Low Birthweight3,Teen Births 15-19 yr,Infant Deaths4,Neonatal Deaths5,Fetal Deaths6
NANTUCKET,112,150,15,--7,1,1,--7
NATICK,4,408,28,--7,2,1,--7
NEEDHAM,3,267,17,--7,1,0,0
NEW ASHFORD,0,6,0,0,0,0,0
NEW BEDFORD,"1,407","1,282",97,144,2,2,6
NEW BRAINTREE,0,5,--7,0,0,0,0
NEW MARLBOROUGH,0,10,0,0,0,0,0
NEW SALEM,0,6,0,0,0,0,0
NEWBURY,0,34,--7,0,0,0,0
NEWBURYPORT,648,136,7,--7,1,0,0
NEWTON,"3,696",787,55,7,2,2,0
NORFOLK,1,91,--7,0,0,0,0
NORTH ADAMS,290,129,8,17,0,0,--7
NORTH ANDOVER,0,299,16,7,0,0,--7
NORTH ATTLEBORO,2,334,27,6,1,0,--7
NORTH BROOKFIELD,0,42,--7,--7,0,0,0
NORTH READING,0,150,11,--7,1,1,--7
NORTHAMPTON,878,201,15,6,2,1,0
NORTHBOROUGH,0,121,14,--7,0,0,0
NORTHBRIDGE,1,178,9,7,1,1,0
NORTHFIELD,0,27,--7,--7,0,0,0
NORTON,0,148,11,--7,1,1,--7
NORWELL,0,80,5,0,1,1,0
NORWOOD,481,382,31,--7,0,0,0
OAK BLUFFS,125,47,--7,0,0,0,0
OAKHAM,0,14,0,0,0,0,0
ORANGE,3,78,6,12,0,0,0
ORLEANS,1,23,0,0,0,0,0
OTIS,0,10,--7,--7,0,0,0
OXFORD,1,118,8,8,0,0,0
PALMER,1,118,12,10,0,0,0
PAXTON,1,37,--7,--7,1,0,0
PEABODY,1,489,27,17,1,1,6
PELHAM,1,13,0,0,0,0,0
PEMBROKE,0,172,7,5,0,0,--7
PEPPERELL,1,100,8,5,0,0,0
PERU,0,6,0,0,0,0,0
PETERSHAM,0,10,--7,0,0,0,0
PHILLIPSTON,0,6,0,0,0,0,0
PITTSFIELD,672,510,47,46,6,4,--7
PLAINFIELD,0,4,0,0,0,0,0
PLAINVILLE,1,103,--7,--7,0,0,--7
PLYMOUTH,563,560,36,26,1,1,--7
PLYMPTON,0,22,--7,--7,0,0,0
PRINCETON,2,24,--7,0,0,0,0
PROVINCETOWN,0,18,--7,0,0,0,0
QUINCY,3,1213,77,31,4,4,9
RANDOLPH,2,388,45,15,1,1,5
RAYNHAM,1,161,20,6,0,0,--7
READING,0,236,17,--7,0,0,--7
REHOBOTH,0,77,9,--7,2,1,0
REVERE,3,754,64,37,2,2,8
RICHMOND,0,5,0,--7,0,0,0
ROCHESTER,0,40,5,--7,0,0,0
ROCKLAND,0,225,25,10,1,1,--7
ROCKPORT,0,38,--7,--7,0,0,0
ROWE,0,3,0,0,0,0,0
ROWLEY,0,49,0,--7,0,0,0
ROYALSTON,0,12,0,--7,0,0,0
RUSSELL,0,24,0,0,0,0,0
RUTLAND,0,88,5,--7,0,0,0
SALEM,"1,483",481,37,29,1,1,--7
SALISBURY,0,73,8,--7,1,1,0
SANDISFIELD,0,5,0,0,0,0,0
SANDWICH,0,145,9,5,0,0,0
SAUGUS,0,253,12,8,0,0,0
SAVOY,0,7,0,0,0,0,0
SCITUATE,1,140,--7,0,0,0,0
SEEKONK,0,98,--7,-7-,0,0,0
SHARON,2,125,11,0,0,0,0
SHEFFIELD,0,27,--7,--7,0,0,--7
SHELBURNE,0,18,--7,--7,0,0,0
SHERBORN,0,32,6,0,0,0,0
SHIRLEY,0,71,6,--7,2,2,0
SHREWSBURY,3,332,21,--7,5,5,--7
SHUTESBURY,2,14,0,0,0,0,0
SOMERSET,0,148,10,9,0,0,0
SOMERVILLE,3,938,75,30,2,2,--7
SOUTH HADLEY,0,139,11,--7,1,0,0
SOUTHAMPTON,0,37,--7,--7,0,0,0
SOUTHBOROUGH,1,95,--7,0,0,0,0
SOUTHBRIDGE,302,211,15,28,0,0,--7
SOUTHWICK,0,75,--7,--7,0,0,0
SPENCER,0,124,14,10,0,0,0
SPRINGFIELD,"5,317","2,273",222,371,21,9,9
STERLING,0,67,--7,--7,0,0,0
STOCKBRIDGE,1,8,0,0,0,0,0
STONEHAM,1,228,14,0,1,0,--7
STOUGHTON,0,270,23,8,2,2,--7
STOW,1,64,9,--7,0,0,0
STURBRIDGE,1,78,--7,--7,1,0,0
SUDBURY,1,138,12,0,0,0,0
SUNDERLAND,1,28,0,0,0,0,0
SUTTON,3,65,--7,--7,0,0,--7
SWAMPSCOTT,1,125,10,0,1,1,--7
SWANSEA,0,112,8,--7,0,0,0
TAUNTON,515,692,64,49,2,2,5
TEMPLETON,1,79,6,--7,0,0,--7
TEWKSBURY,0,264,21,7,2,2,--7
TISBURY,0,37,--7,0,0,0,0
TOLLAND,0,1,0,0,0,0,0
TOPSFIELD,0,39,0,--7,0,0,0
TOWNSEND,0,87,--7,6,0,0,0
TRURO,0,12,0,0,0,0,0
TYNGSBOROUGH,0,128,12,7,2,2,0
TYRINGHAM,0,2,0,0,0,0,0
UPTON,0,70,7,0,0,0,0
UXBRIDGE,2,138,11,--7,0,0,0
WAKEFIELD,0,313,33,9,0,0,0
WALES,0,15,--7,0,0,0,0
WALPOLE,1,237,11,--7,0,0,0
WALTHAM,4,794,55,17,2,2,--7
WARE,111,115,10,6,1,0,--7
